"_id",count
2017-12-05,17.0
2017-12-06,40.0
2017-12-07,32.0
2017-12-08,28.0
2017-12-09,6.0
2017-12-10,15.0
2017-12-11,22.0
2017-12-12,23.0
2017-12-13,37.0
2017-12-14,25.0
2017-12-15,28.0
2017-12-16,8.0
2017-12-17,10.0
2017-12-18,23.0
2017-12-19,21.0
2017-12-20,29.0
2017-12-21,15.0
2017-12-22,16.0
2017-12-23,3.0
2017-12-24,6.0
2017-12-25,10.0
2017-12-26,11.0
2017-12-27,9.0
2017-12-28,10.0
2017-12-29,20.0
2017-12-30,8.0
2017-12-31,5.0
2018-01-01,14.0
2018-01-02,13.0
2018-01-03,17.0
2018-01-04,20.0
2018-01-05,14.0
2018-01-06,4.0
2018-01-07,11.0
2018-01-08,20.0
2018-01-09,26.0
2018-01-10,24.0
2018-01-11,23.0
2018-01-12,38.0
2018-01-13,6.0
2018-01-14,14.0
2018-01-15,16.0
2018-01-16,27.0
2018-01-17,35.0
2018-01-18,35.0
2018-01-19,37.0
2018-01-20,9.0
2018-01-21,14.0
2018-01-22,25.0
2018-01-23,17.0
2018-01-24,24.0
2018-01-25,30.0
2018-01-26,30.0
2018-01-27,7.0
2018-01-28,14.0
2018-01-29,24.0
2018-01-30,21.0
2018-01-31,15.0
2018-02-01,15.0
2018-02-02,22.0
2018-02-03,10.0
2018-02-04,8.0
2018-02-05,23.0
2018-02-06,13.0
2018-02-07,20.0
2018-02-08,22.0
2018-02-09,13.0
2018-02-10,2.0
2018-02-11,5.0
2018-02-12,18.0
2018-02-13,13.0
2018-02-14,10.0
2018-02-15,19.0
2018-02-16,13.0
2018-02-17,10.0
2018-02-18,9.0
2018-02-19,6.0
2018-02-20,13.0
2018-02-21,18.0
2018-02-22,20.0
2018-02-23,18.0
2018-02-24,4.0
2018-02-25,6.0
2018-02-26,9.0
2018-02-27,19.0
2018-02-28,19.0
2018-03-01,14.0
2018-03-02,21.0
2018-03-03,3.0
2018-03-04,5.0
2018-03-05,10.0
